nombre,pais
Isla de Francia,Francia
Nueva York,Estados Unidos
Lacio,Italia
Cuzco,Perú
Uttar Pradesh,India
Nueva Gales del Sur,Australia
Río de Janeiro,Brasil
Hebei,China
Ática,Grecia
Kioto,Japón
Gran Londres,Reino Unido
Cataluña,España
Berlín,Alemania
Ma'an,Jordania
Arizona,Estados Unidos
Toscana,Italia
Yucatán,México
Dubái,Emiratos Árabes Unidos
California,Estados Unidos
Normandía,Francia
Ontario,Canadá
Distrito Federal Central,Rusia
Chubu,Japón
Wiltshire,Reino Unido
Ciudad del Vaticano,Vaticano
Gobernación de Luxor,Egipto
Misiones,Argentina
